,level_0,index,time,Slope,PID,condition,method,ss,Target
375,725,1425,400,-0.15019128981682167,7,N1,Observed,1,target
376,726,1426,424,-0.1271437244548785,7,N1,Observed,1,target
377,727,1427,448,-0.17954035517553624,7,N1,Observed,1,target
378,728,1428,472,-0.21875522938676717,7,N1,Observed,1,target
379,729,1429,496,-0.18542753493595476,7,N1,Observed,1,target
380,730,1430,520,-0.13745568923795878,7,N1,Observed,1,target
381,731,1431,544,-0.10390826529961265,7,N1,Observed,1,target
382,732,1432,568,-0.04553607186061163,7,N1,Observed,1,target
383,733,1433,592,0.03250970096171898,7,N1,Observed,1,target
384,734,1434,616,0.0768371135394806,7,N1,Observed,1,target
385,735,1435,640,0.08892278114424645,7,N1,Observed,1,target
386,736,1436,664,0.07953443946892125,7,N1,Observed,1,target
387,737,1437,688,0.06472306290827222,7,N1,Observed,1,target
388,738,1438,712,0.06865479204121082,7,N1,Observed,1,target
389,739,1439,736,0.1252852191255087,7,N1,Observed,1,target
390,740,1440,760,0.21712767307493416,7,N1,Observed,1,target
391,741,1441,784,0.2813031033738673,7,N1,Observed,1,target
392,742,1442,808,0.28175540399685095,7,N1,Observed,1,target
393,743,1443,832,0.16534175692327566,7,N1,Observed,1,target
394,744,1444,856,0.059355286815888496,7,N1,Observed,1,target
395,745,1445,880,0.006138512910950484,7,N1,Observed,1,target
396,746,1446,904,0.007981507036269016,7,N1,Observed,1,target
397,747,1447,928,0.038666696165813176,7,N1,Observed,1,target
398,748,1448,952,0.058822449421091466,7,N1,Observed,1,target
399,749,1449,976,0.05603671856377706,7,N1,Observed,1,target
400,800,1600,-200,-0.1137263111671682,8,N1,Observed,1,target
401,801,1601,-176,-0.06054369338536986,8,N1,Observed,1,target
402,802,1602,-152,0.04461174247598814,8,N1,Observed,1,target
403,803,1603,-128,0.086004313339064,8,N1,Observed,1,target
404,804,1604,-104,0.07592231634220968,8,N1,Observed,1,target
405,805,1605,-80,0.13172211371195006,8,N1,Observed,1,target
406,806,1606,-56,0.23166680785726537,8,N1,Observed,1,target
407,807,1607,-32,0.25501577914873746,8,N1,Observed,1,target
408,808,1608,-8,0.17644130661992488,8,N1,Observed,1,target
409,809,1609,16,0.003653485016126876,8,N1,Observed,1,target
410,810,1610,40,-0.14974636359561766,8,N1,Observed,1,target
411,811,1611,64,-0.2738114589517955,8,N1,Observed,1,target
412,812,1612,88,-0.3504197802005795,8,N1,Observed,1,target
413,813,1613,112,-0.3697184706230523,8,N1,Observed,1,target
414,814,1614,136,-0.3159011693911306,8,N1,Observed,1,target
415,815,1615,160,-0.26809763571676865,8,N1,Observed,1,target
416,816,1616,184,-0.2864812092044691,8,N1,Observed,1,target
417,817,1617,208,-0.25760108978966473,8,N1,Observed,1,target
418,818,1618,232,-0.16513147416993978,8,N1,Observed,1,target
419,819,1619,256,-0.04491284236565631,8,N1,Observed,1,target
420,820,1620,280,0.02285835055104367,8,N1,Observed,1,target
421,821,1621,304,0.029477907049961616,8,N1,Observed,1,target
422,822,1622,328,0.05111416040514627,8,N1,Observed,1,target
423,823,1623,352,0.041801699157539174,8,N1,Observed,1,target
424,824,1624,376,-0.03374541283879417,8,N1,Observed,1,target
425,825,1625,400,-0.17037442550792695,8,N1,Observed,1,target
426,826,1626,424,-0.26455607129702025,8,N1,Observed,1,target
427,827,1627,448,-0.2643246742780336,8,N1,Observed,1,target
428,828,1628,472,-0.20329320095891643,8,N1,Observed,1,target
429,829,1629,496,-0.16918023467386023,8,N1,Observed,1,target
430,830,1630,520,-0.182402801450073,8,N1,Observed,1,target
431,831,1631,544,-0.16135424657560507,8,N1,Observed,1,target
432,832,1632,568,-0.058908652244342975,8,N1,Observed,1,target
433,833,1633,592,-0.04843822983186435,8,N1,Observed,1,target
434,834,1634,616,-0.13211457934007606,8,N1,Observed,1,target
435,835,1635,640,-0.2118480275587722,8,N1,Observed,1,target
436,836,1636,664,-0.238948219827446,8,N1,Observed,1,target
437,837,1637,688,-0.18785541227322686,8,N1,Observed,1,target
438,838,1638,712,-0.11337531339107632,8,N1,Observed,1,target
439,839,1639,736,-0.06256607957379663,8,N1,Observed,1,target
440,840,1640,760,-0.0594717235280852,8,N1,Observed,1,target
441,841,1641,784,-0.07882863068502888,8,N1,Observed,1,target
