,time,Slope,PID,condition,method
461,64,-0.06308513167038167,2,ss2,Observed
462,88,-0.06816764877547551,2,ss2,Observed
463,112,-0.009707905693926046,2,ss2,Observed
464,136,0.08262406441378438,2,ss2,Observed
465,160,0.17179454740836134,2,ss2,Observed
466,184,0.22404678741530396,2,ss2,Observed
467,208,0.22311780283444724,2,ss2,Observed
468,232,0.1936377985299412,2,ss2,Observed
469,256,0.17743568303814006,2,ss2,Observed
470,280,0.19340895470347075,2,ss2,Observed
471,304,0.1884554403190363,2,ss2,Observed
472,328,0.1522894286788375,2,ss2,Observed
473,352,0.12640044833719674,2,ss2,Observed
474,376,0.12014464734097673,2,ss2,Observed
475,400,0.12452543992351389,2,ss2,Observed
476,424,0.09672454585405361,2,ss2,Observed
477,448,0.07378783248158978,2,ss2,Observed
478,472,0.07268079144826423,2,ss2,Observed
479,496,0.029321612443788832,2,ss2,Observed
480,520,-0.03788609274480278,2,ss2,Observed
481,544,-0.04843622430607832,2,ss2,Observed
482,568,0.02458416996766726,2,ss2,Observed
483,592,0.07225977977291947,2,ss2,Observed
484,616,0.07084256112505481,2,ss2,Observed
485,640,0.03982104092439886,2,ss2,Observed
486,664,0.00856051906673979,2,ss2,Observed
487,688,0.012961166880177061,2,ss2,Observed
488,712,0.04341679246547029,2,ss2,Observed
489,736,0.03864168664750576,2,ss2,Observed
490,760,0.004666766653056028,2,ss2,Observed
491,784,-0.03661697753113577,2,ss2,Observed
492,808,-0.0371577121329618,2,ss2,Observed
493,832,0.028895128329380033,2,ss2,Observed
494,856,0.09299133421889912,2,ss2,Observed
495,880,0.10801740760417405,2,ss2,Observed
496,904,0.0702210433563169,2,ss2,Observed
497,928,0.02620359089174941,2,ss2,Observed
498,952,-0.0066121296420658905,2,ss2,Observed
499,976,-0.005318826333608106,2,ss2,Observed
500,-200,0.05373955352416054,2,ss1_sim,Shuffled
501,-176,-0.005190266377246757,2,ss1_sim,Shuffled
502,-152,0.05299017050060586,2,ss1_sim,Shuffled
503,-128,-0.011034911041018156,2,ss1_sim,Shuffled
504,-104,0.003843865924601961,2,ss1_sim,Shuffled
505,-80,-0.003929049828772434,2,ss1_sim,Shuffled
506,-56,0.025727838606961113,2,ss1_sim,Shuffled
507,-32,-0.005229338629886743,2,ss1_sim,Shuffled
508,-8,0.023899258112509897,2,ss1_sim,Shuffled
509,16,-0.00636179072795293,2,ss1_sim,Shuffled
510,40,-0.0025086955208187254,2,ss1_sim,Shuffled
511,64,-0.004670082908963133,2,ss1_sim,Shuffled
512,88,0.016415414139814906,2,ss1_sim,Shuffled
513,112,0.022357989052300183,2,ss1_sim,Shuffled
514,136,-0.01122559537563378,2,ss1_sim,Shuffled
515,160,0.0045893451577911915,2,ss1_sim,Shuffled
516,184,0.06419902296748208,2,ss1_sim,Shuffled
517,208,-0.004023798048064124,2,ss1_sim,Shuffled
518,232,0.03182723791993344,2,ss1_sim,Shuffled
519,256,-0.01703916096402081,2,ss1_sim,Shuffled
520,280,-0.017089242735101637,2,ss1_sim,Shuffled
521,304,-0.017371119363194215,2,ss1_sim,Shuffled
522,328,-0.0008263917522364182,2,ss1_sim,Shuffled
523,352,-0.015343096235431794,2,ss1_sim,Shuffled
524,376,0.015101708552332803,2,ss1_sim,Shuffled
525,400,-0.007177294280496331,2,ss1_sim,Shuffled
526,424,0.04767790555266749,2,ss1_sim,Shuffled
527,448,0.011809307182198006,2,ss1_sim,Shuffled
528,472,0.011822834606008322,2,ss1_sim,Shuffled
529,496,0.028700346026526515,2,ss1_sim,Shuffled
530,520,-0.015142090006867828,2,ss1_sim,Shuffled
531,544,0.053936918533710805,2,ss1_sim,Shuffled
532,568,0.010975906368421232,2,ss1_sim,Shuffled
